Kategorie,Produkt,Preis
fleisch-und-fisch,GENUSS 100% AUS ÖSTERREICH Teilsames,"€ 8,99"
fleisch-und-fisch,GENUSS 100% AUS ÖSTERREICH Toastschinken,"€ 2,69"
fleisch-und-fisch,GENUSS 100% AUS ÖSTERREICH XXL Extrawurst,"€ 4,59"
fleisch-und-fisch,GENUSS 100% AUS ÖSTERREICH XXL Speckwürferl,"€ 5,49"
fleisch-und-fisch,"GOLDEN SEAFOOD ASC Riesengarnelen, Natur","€ 3,99"
fleisch-und-fisch,"GOLDEN SEAFOOD ASC Riesengarnelen, Provencal","€ 3,99"
fleisch-und-fisch,"GOLDEN SEAFOOD ASC Riesengarnelen, Thai Curry","€ 3,99"
fleisch-und-fisch,"GOLDEN SEAFOOD Wildlachs in Sauce, Senf Sauce","€ 5,99"
fleisch-und-fisch,"GOLDEN SEAFOOD Wildlachs in Sauce, Weißwein Sauce","€ 5,99"
fleisch-und-fisch,"GOURMET Prosciutto Cotto Spezialitäten, Meraner Schinken","€ 2,49"
fleisch-und-fisch,"GOURMET Prosciutto Cotto Spezialitäten, Porchetta al forno","€ 2,49"
fleisch-und-fisch,GOURMET Steirischer Prosciutto,"€ 2,99"
fleisch-und-fisch,GUTES AUS DER REGION Karreespeck,"€ 8,49"
fleisch-und-fisch,GUTES AUS DER REGION Krainer,"€ 3,49"
fleisch-und-fisch,"HÜTTHALER Kantwurst, Klassik","€ 6,79"
fleisch-und-fisch,"HÜTTHALER Kantwurst, Puszta","€ 6,79"
fleisch-und-fisch,KLETZL XXL Leberkäse,"€ 6,99"
fleisch-und-fisch,Karreeschnitzerl extra dünn,"€ 10,79"
fleisch-und-fisch,Knabber Nossi,"€ 2,99"
fleisch-und-fisch,"PRIMANA Pasteta Hühneraufstrich, Huhn","€ 0,89"
fleisch-und-fisch,"PRIMANA Pasteta Hühneraufstrich, Huhn Pikant","€ 0,89"
fleisch-und-fisch,PRIMANA Pastete Hühneraufstrich Junior,"€ 0,89"
fleisch-und-fisch,PRIMANA Puten Cordon Bleu,"€ 6,99"
fleisch-und-fisch,PRIMANA Puten Schnitzel,"€ 6,99"
fleisch-und-fisch,Puten-Extra,"€ 2,95"
fleisch-und-fisch,Putenschnitzel,"€ 10,98"
fleisch-und-fisch,"RIO MARE Insalatissime, Couscous","€ 5,79"
fleisch-und-fisch,"RIO MARE Insalatissime, Mais","€ 5,79"
fleisch-und-fisch,"RIO MARE Insalatissime, Mexican","€ 5,79"
fleisch-und-fisch,Sudzuk,"€ 6,49"
fleisch-und-fisch,Wiener gebraten,"€ 5,49"
fleisch-und-fisch,"ZURÜCK ZUM URSPRUNG BIO-Hühnerteile, Flügerl","€ 3,99"
fleisch-und-fisch,"ZURÜCK ZUM URSPRUNG BIO-Hühnerteile, Oberkeulen","€ 3,99"
kuehlung,BIO NATURA Parmigiano Reggiano 24 Monate,"€ 5,49"
kuehlung,BRUNCH Kräuter,"€ 2,49"
kuehlung,BRUNCH Mango Curry,"€ 2,49"
kuehlung,BRUNCH Original,"€ 2,49"
kuehlung,BRUNCH Paprika,"€ 2,49"
kuehlung,CUCINA NOBILE Büffelmozzarella Kugel,"€ 2,39"
kuehlung,CUCINA NOBILE Grana Padano Cubes,"€ 2,79"
kuehlung,"CUCINA NOBILE Original Italian Cheese Mix, Pecorino","€ 3,69"
